Model,Accuracy,Precision,Recall,F1_Score,TrainingTime_Sec
Custom CNN,0.2,0.04,0.2,0.06666666666666668,84.04243063926697
MobileNetV2,0.396969696969697,0.41219512195121955,0.396969696969697,0.2709123150299621,56.4588508605957
ResNet50,0.3787878787878788,0.15965079365079365,0.3787878787878788,0.22216478696741854,93.41931700706482
